taxi_id, latitude, longitude, ele, date_time
1368, 39.99021,116.4219,NaN, 1201976976000
1368, 39.99381,116.40563,NaN, 1201977278000
1368, 39.95857,116.46005,NaN, 1201978344000
1368, 39.95957,116.44312,NaN, 1201978972000
1368, 39.95475,116.45271,NaN, 1201979268000
1368, 39.95474,116.45271,NaN, 1201979569000
1368, 39.90501,116.35626,NaN, 1201982961000
1368, 39.91312,116.45284,NaN, 1201985696000
1368, 39.91249,116.44765,NaN, 1201985997000
1368, 39.91259,116.44754,NaN, 1201986299000
1368, 39.91259,116.44754,NaN, 1201986601000
1368, 39.94579,116.4571,NaN, 1201987481000
1368, 39.95253,116.46209,NaN, 1201987783000
1368, 39.95699,116.46172,NaN, 1201988085000
1368, 39.9555,116.45009,NaN, 1201988387000
1368, 39.96013,116.44306,NaN, 1201988688000
1368, 39.96757,116.39489,NaN, 1201989327000
1368, 39.96943,116.38835,NaN, 1201989629000
1368, 39.97482,116.38804,NaN, 1201989931000
1368, 39.97544,116.37349,NaN, 1201990233000
1368, 39.97959,116.36353,NaN, 1201990534000
1368, 39.98054,116.35758,NaN, 1201990798000
1368, 39.98037,116.35739,NaN, 1201991165000
1368, 39.98037,116.35739,NaN, 1201991165000
1368, 39.98037,116.35739,NaN, 1201991165000
1368, 40.04077,116.31384,NaN, 1201994390000
1368, 40.03638,116.30985,NaN, 1201994692000
1368, 39.94716,116.34278,NaN, 1201997586000
1368, 39.93849,116.34233,NaN, 1201997888000
1368, 39.93754,116.32258,NaN, 1201998200000
1368, 39.94297,116.31909,NaN, 1201998512000
1368, 39.9653,116.31551,NaN, 1201998800000
1368, 39.96375,116.29174,NaN, 1201999724000
1368, 39.94735,116.31676,NaN, 1202000600000
1368, 39.94506,116.31144,NaN, 1202000820000
1368, 39.94488,116.31535,NaN, 1202001443000
1368, 39.96131,116.31654,NaN, 1202001745000
1368, 39.96131,116.31654,NaN, 1202001745000
1368, 40.03436,116.35773,NaN, 1202003446000
1368, 39.971,116.33484,NaN, 1202004980000
1368, 39.9626,116.30208,NaN, 1202005700000
1368, 40.03661,116.35339,NaN, 1202007244000
1368, 39.98107,116.37806,NaN, 1202008220000
1368, 40.0286,116.26504,NaN, 1202009390000
1368, 39.99787,116.28336,NaN, 1202010340000
1368, 39.98225,116.29953,NaN, 1202010641000
1368, 39.91495,116.50695,NaN, 1202012406000
1368, 39.90972,116.34652,NaN, 1202013682000
1368, 39.91223,116.3538,NaN, 1202013984000
1368, 39.90112,116.22989,NaN, 1202014907000
1368, 39.93632,116.27055,NaN, 1202017321000
1368, 39.93632,116.27055,NaN, 1202017925000
1368, 39.93632,116.27055,NaN, 1202018226000
1368, 39.93632,116.27054,NaN, 1202021848000
1368, 39.93635,116.27082,NaN, 1202022899000
1368, 39.93635,116.27082,NaN, 1202023503000
1368, 39.93635,116.27082,NaN, 1202023503000
1368, 39.93637,116.27084,NaN, 1202024106000
1368, 39.93638,116.27084,NaN, 1202024419000
1368, 39.93638,116.27084,NaN, 1202025019000
1368, 39.93641,116.27081,NaN, 1202025319000
1368, 39.93641,116.27081,NaN, 1202025619000
1368, 39.93641,116.27081,NaN, 1202027430000
1368, 39.93641,116.27081,NaN, 1202028632000
1368, 39.93641,116.27081,NaN, 1202028934000
1368, 39.93641,116.27081,NaN, 1202030148000
1368, 39.9364,116.27079,NaN, 1202030745000
1368, 39.9364,116.27079,NaN, 1202031047000
1368, 39.9364,116.27079,NaN, 1202031952000
1368, 39.9364,116.27079,NaN, 1202034678000
1368, 39.90778,116.26771,NaN, 1202035458000
1368, 39.92221,116.34728,NaN, 1202036345000
1368, 39.94778,116.37225,NaN, 1202036736000
1368, 39.98061,116.46923,NaN, 1202057776000
1368, 39.98334,116.46532,NaN, 1202058077000
1368, 40.00577,116.47665,NaN, 1202058676000
1368, 40.00732,116.46384,NaN, 1202058959000
1368, 40.00576,116.47663,NaN, 1202059261000
1368, 40.00575,116.47665,NaN, 1202059876000
1368, 40.00576,116.47666,NaN, 1202060177000
1368, 40.00577,116.47663,NaN, 1202060477000
1368, 40.00577,116.47663,NaN, 1202060777000
1368, 40.00578,116.4767,NaN, 1202061077000
1368, 40.00576,116.47669,NaN, 1202061377000
1368, 39.99979,116.45764,NaN, 1202062073000
1368, 39.99979,116.45764,NaN, 1202062073000
1368, 40.00264,116.46722,NaN, 1202062243000
1368, 40.00442,116.47651,NaN, 1202062404000
1368, 40.00584,116.47653,NaN, 1202062706000
1368, 39.93517,116.42712,NaN, 1202064121000
1368, 39.91131,116.46774,NaN, 1202065227000
1368, 39.92463,116.43996,NaN, 1202065979000
1368, 39.90377,116.47426,NaN, 1202067137000
1368, 39.90396,116.47209,NaN, 1202067437000
1368, 39.90499,116.4403,NaN, 1202067739000
1368, 39.90612,116.44157,NaN, 1202068041000
1368, 39.90616,116.4417,NaN, 1202068343000
1368, 39.90614,116.44179,NaN, 1202068643000
1368, 39.90614,116.44177,NaN, 1202068945000
1368, 39.89748,116.44863,NaN, 1202069497000
1368, 39.90158,116.45571,NaN, 1202069799000
1368, 39.90272,116.44766,NaN, 1202070101000
1368, 39.906,116.44142,NaN, 1202070403000
1368, 39.87808,116.44994,NaN, 1202073940000
1368, 39.8723,116.45115,NaN, 1202074242000
1368, 39.85552,116.40915,NaN, 1202075122000
1368, 39.85552,116.40915,NaN, 1202075122000
1368, 39.8561,116.4172,NaN, 1202075424000
1368, 39.85725,116.43001,NaN, 1202075725000
1368, 39.85809,116.44363,NaN, 1202076027000
1368, 39.90346,116.41891,NaN, 1202076964000
1368, 39.90698,116.42738,NaN, 1202077254000
1368, 39.90677,116.43255,NaN, 1202077568000
1368, 39.96004,116.43896,NaN, 1202079076000
1368, 39.96151,116.43083,NaN, 1202079376000
1368, 39.96235,116.43995,NaN, 1202079676000
1368, 39.96977,116.41854,NaN, 1202079976000
1368, 39.99573,116.44999,NaN, 1202081207000
1368, 39.99573,116.44999,NaN, 1202081207000
1368, 40.00065,116.46922,NaN, 1202081509000
1368, 40.01294,116.47179,NaN, 1202081810000
1368, 40.00684,116.47653,NaN, 1202082115000
1368, 40.01255,116.46674,NaN, 1202082417000
1368, 40.0115,116.46676,NaN, 1202082719000
1368, 40.01002,116.46805,NaN, 1202083021000
1368, 40.00999,116.46824,NaN, 1202083322000
1368, 40.00999,116.46824,NaN, 1202083635000
1368, 40.00999,116.46824,NaN, 1202083635000
1368, 40.00999,116.46824,NaN, 1202083935000
1368, 40.00999,116.46829,NaN, 1202084235000
1368, 40.00999,116.46829,NaN, 1202084535000
1368, 40.00999,116.46829,NaN, 1202084835000
1368, 40.00999,116.46829,NaN, 1202085435000
1368, 39.86477,116.43887,NaN, 1202089679000
1368, 39.87613,116.44166,NaN, 1202090019000
1368, 39.90503,116.4359,NaN, 1202090622000
1368, 39.90638,116.29704,NaN, 1202092481000
1368, 39.92615,116.28159,NaN, 1202093019000
1368, 39.94538,116.30414,NaN, 1202093622000
1368, 39.95716,116.31714,NaN, 1202093924000
