taxi_id, latitude, longitude, ele, date_time, speed
1368, 39.95860513207179, 116.45978074058401, 0.0, 2008-02-02T15:52:24-0300, 0
1368, 39.955488554138434, 116.45632273978717, 0.0, 292269016-01-03T08:39:28-0300, 0
1368, 39.95541199942109, 116.45624152845684, 0.0, 2008-02-02T15:52:23-0300, 0
1368, 39.95414074407832, 116.45483243736996, 0.0, 292269016-01-03T08:39:28-0300, 0
1368, 39.95324667438671, 116.45383350075409, 0.0, 2008-02-02T15:52:23-0300, 0
1368, 39.953181109275995, 116.45376029879809, 0.0, 292269016-01-03T08:39:28-0300, 0
1368, 39.953671543754744, 116.45298823236648, 0.0, 2008-02-02T15:52:23-0300, 0
1368, 39.954098089503454, 116.45231693503969, 0.0, 292269016-01-03T08:39:28-0300, 0
1368, 39.954222327937686, 116.45212135729464, 0.0, 2008-02-02T15:52:23-0300, 0
1368, 39.95434395866865, 116.45193006363355, 0.0, 292269016-01-03T08:39:28-0300, 0
1368, 39.954845569018545, 116.45114048833715, 0.0, 2008-02-02T15:52:23-0300, 0
1368, 39.95504896987339, 116.45082365239017, 0.0, 292269016-01-03T08:39:28-0300, 0
1368, 39.95510838825498, 116.45073107892419, 0.0, 2008-02-02T15:52:23-0300, 0
1368, 39.95529781927089, 116.4501622270829, 0.0, 292269016-01-03T08:39:28-0300, 0
1368, 39.95542783190521, 116.44996404163459, 0.0, 2008-02-02T15:52:23-0300, 0
1368, 39.95555598189434, 116.44976846388955, 0.0, 292269016-01-03T08:39:28-0300, 0
1368, 39.95589628717072, 116.44924953093937, 0.0, 2008-02-02T15:52:23-0300, 0
1368, 39.95617587021386, 116.44881814231317, 0.0, 292269016-01-03T08:39:28-0300, 0
1368, 39.95662681661457, 116.44810381788247, 0.0, 2008-02-02T15:52:23-0300, 0
